iter	Logloss
0	0.6812756203
1	0.6628204713
2	0.6479898704
3	0.6404350962
4	0.6290695443
5	0.6202590442
6	0.6146946323
7	0.6097113433
8	0.6009568734
9	0.5967755141
10	0.5930202464
11	0.5867024458
12	0.5812389898
13	0.5742743794
14	0.567591945
15	0.5649233321
16	0.5634963804
17	0.5587151601
18	0.5559136238
19	0.5524030321
20	0.5505693848
21	0.5469815213
22	0.5431960253
23	0.5422558336
24	0.5384504773
25	0.5350321956
26	0.5328477652
27	0.5316039178
28	0.527587918
29	0.5244427419
30	0.5229971207
31	0.5205030694
32	0.5189798923
33	0.5174107443
34	0.5143708129
35	0.5137045729
36	0.5128537731
37	0.5100374777
38	0.5069320719
39	0.5034283261
40	0.5028821835
41	0.5016132373
42	0.4985617816
43	0.496985085
44	0.4948362852
45	0.4932760147
46	0.4907546161
47	0.48832611
48	0.486285766
49	0.4842170606
50	0.4822726293
51	0.4806439609
52	0.4785581979
53	0.4770161955
54	0.4760657601
55	0.475067546
56	0.4733196096
57	0.4724619005
58	0.4716909158
59	0.4711510382
60	0.4701562297
61	0.4686421543
62	0.4679595939
63	0.4675886287
64	0.4663350132
65	0.4653789623
66	0.4650968205
67	0.463740048
68	0.4635387684
69	0.4616842076
70	0.4610898308
71	0.4591222217
72	0.4576816321
73	0.4560403674
74	0.4548758911
75	0.4541021106
76	0.4530777949
77	0.4521953813
78	0.4512166821
79	0.4497100237
80	0.4491589897
81	0.4483320815
82	0.4477087942
83	0.447582715
84	0.4468321363
85	0.4463111511
86	0.4459531395
87	0.445560404
88	0.4450687691
89	0.4444557823
90	0.4440061689
91	0.4431856423
92	0.4428592079
93	0.4422457024
94	0.4415215412
95	0.4413351521
96	0.4408387162
97	0.44032829
98	0.439897734
99	0.4397778966
100	0.4393372452
101	0.43837694
102	0.4372613113
103	0.4364123543
104	0.436362199
105	0.4361570519
106	0.4356656246
107	0.4356137727
108	0.4353553426
109	0.4349265631
110	0.4340356071
111	0.4330305944
112	0.4324487334
113	0.4323637491
114	0.4318085279
115	0.4313375559
116	0.4307049659
117	0.4305351593
118	0.4298487772
119	0.4295072169
120	0.4291513655
121	0.4285693022
122	0.4278638302
123	0.4273721767
124	0.4271761739
125	0.4270351832
126	0.4267684046
127	0.4264032209
128	0.4263028055
129	0.4258160157
130	0.4257452935
131	0.4255220744
132	0.4252310835
133	0.4247060445
134	0.4244303946
135	0.4240629399
136	0.4236057972
137	0.4228955493
138	0.4224602626
139	0.4217636548
140	0.421488514
141	0.4212817742
142	0.4205993949
143	0.4200635063
144	0.4196614395
145	0.4194498368
146	0.4188353606
147	0.4182680027
148	0.4180916543
149	0.4169723389
150	0.4166213678
151	0.4161759815
152	0.4156601197
153	0.4154057733
154	0.4151623122
155	0.4148209107
156	0.4146418328
157	0.4145214124
158	0.4144190504
159	0.4140631796
160	0.4137187339
161	0.4133307182
162	0.4127985843
163	0.412576877
164	0.4124155557
165	0.4121795961
166	0.4118646401
167	0.4118094028
168	0.4110398216
169	0.41091246
170	0.4104880824
171	0.410241256
172	0.4098980028
173	0.4095878105
174	0.4090637241
175	0.4084745803
176	0.4082569695
177	0.4077369533
178	0.4075554428
179	0.4073408857
180	0.4071637516
181	0.4069483095
182	0.4065799674
183	0.4064126304
184	0.4060920773
185	0.4058582288
186	0.4055660424
187	0.4051475109
188	0.4047735367
189	0.4042278469
190	0.4036423137
191	0.4033245072
192	0.4031692631
193	0.402556444
194	0.4022542449
195	0.4019618122
196	0.4016249546
197	0.4013969908
198	0.4010043318
199	0.400588786
200	0.4000353321
201	0.3994030246
202	0.3993059596
203	0.3988451579
204	0.3983792792
205	0.3982258673
206	0.3979700147
207	0.3974426501
208	0.3971937286
209	0.3967931427
210	0.3964715081
211	0.3961503179
212	0.3957239913
213	0.3950659132
214	0.3945029333
215	0.3938425791
216	0.393292213
217	0.393044967
218	0.3925406779
219	0.3916456602
220	0.3912204618
221	0.390533932
222	0.3901712102
223	0.389747823
224	0.3892369266
225	0.3891289382
226	0.3885838622
227	0.387979855
228	0.3876498344
229	0.3872108494
230	0.3868299994
231	0.3860620799
232	0.3847162916
233	0.384364836
234	0.3837579811
235	0.383071339
236	0.3825619735
237	0.3814416868
238	0.3804907518
239	0.379934633
240	0.3792342337
241	0.378896059
242	0.3784743376
243	0.3781521729
244	0.3777388475
245	0.3768307256
246	0.3764461532
247	0.3761442391
248	0.3754341016
249	0.3747410467
250	0.3745440054
251	0.3740002333
252	0.3731366402
253	0.3725676865
254	0.3724441335
255	0.372063947
256	0.3714567177
257	0.3709312968
258	0.3701416772
259	0.369414256
260	0.3686349506
261	0.3680829834
262	0.3673560177
263	0.3665485017
264	0.365969635
